Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","020","Andorra","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2019","2019","1000 No","76.343","X","Figure from international organizations",""
"OA","Annual population","020","Andorra","512","Total Population - Male","3010","Population - Est. & Proj.","2019","2019","1000 No","38.842","X","Figure from international organizations",""
"OA","Annual population","020","Andorra","513","Total Population - Female","3010","Population - Est. & Proj.","2019","2019","1000 No","37.502","X","Figure from international organizations",""
"OA","Annual population","020","Andorra","551","Rural population","3010","Population - Est. & Proj.","2019","2019","1000 No","9.261","X","Figure from international organizations",""
"OA","Annual population","020","Andorra","561","Urban population","3010","Population - Est. & Proj.","2019","2019","1000 No","67.811","X","Figure from international organizations",""
"OA","Annual population","024","Angola","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 No","31273.533","X","Figure from international organizations",""
"OA","Annual population","024","Angola","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 No","15445.494","X","Figure from international organizations",""
"OA","Annual population","024","Angola","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 No","15828.04","X","Figure from international organizations",""
"OA","Annual population","024","Angola","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 No","10612.667","X","Figure from international organizations",""
"OA","Annual population","024","Angola","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 No","20161.538","X","Figure from international organizations",""
"OA","Annual population","024","Angola","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2019","2019","1000 No","32353.588","X","Figure from international organizations",""
"OA","Annual population","024","Angola","512","Total Population - Male","3010","Population - Est. & Proj.","2019","2019","1000 No","15983.035","X","Figure from international organizations",""
"OA","Annual population","024","Angola","513","Total Population - Female","3010","Population - Est. & Proj.","2019","2019","1000 No","16370.553","X","Figure from international organizations",""
"OA","Annual population","024","Angola","551","Rural population","3010","Population - Est. & Proj.","2019","2019","1000 No","10751.626","X","Figure from international organizations",""
"OA","Annual population","024","Angola","561","Urban population","3010","Population - Est. & Proj.","2019","2019","1000 No","21035.94","X","Figure from international organizations",""
"OA","Annual population","660","Anguilla","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 No","15.181","X","Figure from international organizations",""
"OA","Annual population","660","Anguilla","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 No","7.461","X","Figure from international organizations",""
"OA","Annual population","660","Anguilla","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 No","7.72","X","Figure from international organizations",""
"OA","Annual population","660","Anguilla","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 No","0","X","Figure from international organizations",""
"OA","Annual population","660","Anguilla","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 No","15.045","X","Figure from international organizations",""
"OA","Annual population","660","Anguilla","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2019","2019","1000 No","15.38","X","Figure from international organizations",""
"OA","Annual population","660","Anguilla","512","Total Population - Male","3010","Population - Est. & Proj.","2019","2019","1000 No","7.551","X","Figure from international organizations",""
"OA","Annual population","660","Anguilla","513","Total Population - Female","3010","Population - Est. & Proj.","2019","2019","1000 No","7.828","X","Figure from international organizations",""
"OA","Annual population","660","Anguilla","551","Rural population","3010","Population - Est. & Proj.","2019","2019","1000 No","0","X","Figure from international organizations",""
"OA","Annual population","660","Anguilla","561","Urban population","3010","Population - Est. & Proj.","2019","2019","1000 No","15.174","X","Figure from international organizations",""
"OA","Annual population","028","Antigua and Barbuda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 No","91.626","X","Figure from international organizations",""
"OA","Annual population","028","Antigua and Barbuda","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 No","43.715","X","Figure from international organizations",""
"OA","Annual population","028","Antigua and Barbuda","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 No","47.91","X","Figure from international organizations",""
"OA","Annual population","028","Antigua and Barbuda","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 No","77.7","X","Figure from international organizations",""
"OA","Annual population","028","Antigua and Barbuda","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 No","25.35","X","Figure from international organizations",""
"OA","Annual population","028","Antigua and Barbuda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2019","2019","1000 No","92.117","X","Figure from international organizations",""
"OA","Annual population","028","Antigua and Barbuda","512","Total Population - Male","3010","Population - Est. & Proj.","2019","2019","1000 No","43.961","X","Figure from international organizations",""
"OA","Annual population","028","Antigua and Barbuda","513","Total Population - Female","3010","Population - Est. & Proj.","2019","2019","1000 No","48.156","X","Figure from international organizations",""
"OA","Annual population","028","Antigua and Barbuda","551","Rural population","3010","Population - Est. & Proj.","2019","2019","1000 No","78.577","X","Figure from international organizations",""
"OA","Annual population","028","Antigua and Barbuda","561","Urban population","3010","Population - Est. & Proj.","2019","2019","1000 No","25.507","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 No","44413.596","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 No","21986.961","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 No","22426.635","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 No","3632.997","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 No","41055.867","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2019","2019","1000 No","44745.52","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","512","Total Population - Male","3010","Population - Est. & Proj.","2019","2019","1000 No","22153.37","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","513","Total Population - Female","3010","Population - Est. & Proj.","2019","2019","1000 No","22592.15","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","551","Rural population","3010","Population - Est. & Proj.","2019","2019","1000 No","3612.215","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","561","Urban population","3010","Population - Est. & Proj.","2019","2019","1000 No","41489.566","X","Figure from international organizations",""
"OA","Annual population","051","Armenia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 No","2836.557","X","Figure from international organizations",""
"OA","Annual population","051","Armenia","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 No","1284.995","X","Figure from international organizations",""
"OA","Annual population","051","Armenia","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 No","1551.563","X","Figure from international organizations",""
"OA","Annual population","051","Armenia","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 No","1081.275","X","Figure from international organizations",""
"OA","Annual population","051","Armenia","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 No","1852.877","X","Figure from international organizations",""
"OA","Annual population","051","Armenia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2019","2019","1000 No","2820.602","X","Figure from international organizations",""
"OA","Annual population","051","Armenia","512","Total Population - Male","3010","Population - Est. & Proj.","2019","2019","1000 No","1274.767","X","Figure from international organizations",""
"OA","Annual population","051","Armenia","513","Total Population - Female","3010","Population - Est. & Proj.","2019","2019","1000 No","1545.834","X","Figure from international organizations",""
"OA","Annual population","051","Armenia","551","Rural population","3010","Population - Est. & Proj.","2019","2019","1000 No","1080.164","X","Figure from international organizations",""
"OA","Annual population","051","Armenia","561","Urban population","3010","Population - Est. & Proj.","2019","2019","1000 No","1856.542","X","Figure from international organizations",""
"OA","Annual population","533","Aruba","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 No","105.962","X","Figure from international organizations",""
"OA","Annual population","533","Aruba","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 No","50.026","X","Figure from international organizations",""
"OA","Annual population","533","Aruba","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 No","55.935","X","Figure from international organizations",""
"OA","Annual population","533","Aruba","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 No","59.798","X","Figure from international organizations",""
"OA","Annual population","533","Aruba","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 No","45.872","X","Figure from international organizations",""
"OA","Annual population","533","Aruba","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2019","2019","1000 No","106.442","X","Figure from international organizations",""
"OA","Annual population","533","Aruba","512","Total Population - Male","3010","Population - Est. & Proj.","2019","2019","1000 No","50.188","X","Figure from international organizations",""
"OA","Annual population","533","Aruba","513","Total Population - Female","3010","Population - Est. & Proj.","2019","2019","1000 No","56.254","X","Figure from international organizations",""
"OA","Annual population","533","Aruba","551","Rural population","3010","Population - Est. & Proj.","2019","2019","1000 No","59.871","X","Figure from international organizations",""
"OA","Annual population","533","Aruba","561","Urban population","3010","Population - Est. & Proj.","2019","2019","1000 No","46.182","X","Figure from international organizations",""
"OA","Annual population","036","Australia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 No","24979.23","X","Figure from international organizations",""
"OA","Annual population","036","Australia","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 No","12390.146","X","Figure from international organizations",""
"OA","Annual population","036","Australia","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 No","12589.085","X","Figure from international organizations",""
"OA","Annual population","036","Australia","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 No","3465.207","X","Figure from international organizations",""
"OA","Annual population","036","Australia","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 No","21307.04","X","Figure from international organizations",""
"OA","Annual population","036","Australia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2019","2019","1000 No","25357.17","X","Figure from international organizations",""
"OA","Annual population","036","Australia","512","Total Population - Male","3010","Population - Est. & Proj.","2019","2019","1000 No","12578.919","X","Figure from international organizations",""
"OA","Annual population","036","Australia","513","Total Population - Female","3010","Population - Est. & Proj.","2019","2019","1000 No","12778.251","X","Figure from international organizations",""
"OA","Annual population","036","Australia","551","Rural population","3010","Population - Est. & Proj.","2019","2019","1000 No","3481.222","X","Figure from international organizations",""
"OA","Annual population","036","Australia","561","Urban population","3010","Population - Est. & Proj.","2019","2019","1000 No","21607.414","X","Figure from international organizations",""
"OA","Annual population","040","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 No","8840.513","X","Figure from international organizations",""
"OA","Annual population","040","Austria","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 No","4347.802","X","Figure from international organizations",""
"OA","Annual population","040","Austria","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 No","4492.71","X","Figure from international organizations",""
"OA","Annual population","040","Austria","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 No","3649.748","X","Figure from international organizations",""
"OA","Annual population","040","Austria","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 No","5102.072","X","Figure from international organizations",""
"OA","Annual population","040","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2019","2019","1000 No","8879.94","X","Figure from international organizations",""
"OA","Annual population","040","Austria","512","Total Population - Male","3010","Population - Est. & Proj.","2019","2019","1000 No","4367.948","X","Figure from international organizations",""
"OA","Annual population","040","Austria","513","Total Population - Female","3010","Population - Est. & Proj.","2019","2019","1000 No","4511.992","X","Figure from international organizations",""
"OA","Annual population","040","Austria","551","Rural population","3010","Population - Est. & Proj.","2019","2019","1000 No","3636.627","X","Figure from international organizations",""
"OA","Annual population","040","Austria","561","Urban population","3010","Population - Est. & Proj.","2019","2019","1000 No","5129.574","X","Figure from international organizations",""
"OA","Annual population","031","Azerbaijan","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 No","10152.522","X","Figure from international organizations",""
"OA","Annual population","031","Azerbaijan","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 No","5008.4","X","Figure from international organizations",""
"OA","Annual population","031","Azerbaijan","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 No","5144.122","X","Figure from international organizations",""
"OA","Annual population","031","Azerbaijan","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 No","4398.268","X","Figure from international organizations",""
"OA","Annual population","031","Azerbaijan","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 No","5525.646","X","Figure from international organizations",""
"OA","Annual population","031","Azerbaijan","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2019","2019","1000 No","10232.753","X","Figure from international organizations",""
"OA","Annual population","031","Azerbaijan","512","Total Population - Male","3010","Population - Est. & Proj.","2019","2019","1000 No","5051.096","X","Figure from international organizations",""
"OA","Annual population","031","Azerbaijan","513","Total Population - Female","3010","Population - Est. & Proj.","2019","2019","1000 No","5181.658","X","Figure from international organizations",""
"OA","Annual population","031","Azerbaijan","551","Rural population","3010","Population - Est. & Proj.","2019","2019","1000 No","4403.28","X","Figure from international organizations",""
"OA","Annual population","031","Azerbaijan","561","Urban population","3010","Population - Est. & Proj.","2019","2019","1000 No","5611.295","X","Figure from international organizations",""
"OA","Annual population","044","Bahamas","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 No","401.906","X","Figure from international organizations",""
"OA","Annual population","044","Bahamas","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 No","192.656","X","Figure from international organizations",""
"OA","Annual population","044","Bahamas","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 No","209.25","X","Figure from international organizations",""
"OA","Annual population","044","Bahamas","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 No","67.779","X","Figure from international organizations",""
