Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","535","Bonaire, Sint Eustatius and Saba","561","Urban population","3010","Population - Est. & Proj.","2019","2019","1000 No","19.469","X","Figure from international organizations",""
"OA","Annual population","070","Bosnia and Herzegovina","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 No","3400.129","X","Figure from international organizations",""
"OA","Annual population","070","Bosnia and Herzegovina","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 No","1670.236","X","Figure from international organizations",""
"OA","Annual population","070","Bosnia and Herzegovina","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 No","1729.892","X","Figure from international organizations",""
"OA","Annual population","070","Bosnia and Herzegovina","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 No","1813.259","X","Figure from international organizations",""
"OA","Annual population","070","Bosnia and Herzegovina","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 No","1690.295","X","Figure from international organizations",""
"OA","Annual population","070","Bosnia and Herzegovina","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2019","2019","1000 No","3360.711","X","Figure from international organizations",""
"OA","Annual population","070","Bosnia and Herzegovina","512","Total Population - Male","3010","Population - Est. & Proj.","2019","2019","1000 No","1652.504","X","Figure from international organizations",""
"OA","Annual population","070","Bosnia and Herzegovina","513","Total Population - Female","3010","Population - Est. & Proj.","2019","2019","1000 No","1708.207","X","Figure from international organizations",""
"OA","Annual population","070","Bosnia and Herzegovina","551","Rural population","3010","Population - Est. & Proj.","2019","2019","1000 No","1798.985","X","Figure from international organizations",""
"OA","Annual population","070","Bosnia and Herzegovina","561","Urban population","3010","Population - Est. & Proj.","2019","2019","1000 No","1702.789","X","Figure from international organizations",""
"OA","Annual population","072","Botswana","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 No","2451.409","X","Figure from international organizations",""
"OA","Annual population","072","Botswana","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 No","1208.678","X","Figure from international organizations",""
"OA","Annual population","072","Botswana","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 No","1242.73","X","Figure from international organizations",""
"OA","Annual population","072","Botswana","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 No","712.875","X","Figure from international organizations",""
"OA","Annual population","072","Botswana","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 No","1620.326","X","Figure from international organizations",""
"OA","Annual population","072","Botswana","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2019","2019","1000 No","2499.702","X","Figure from international organizations",""
"OA","Annual population","072","Botswana","512","Total Population - Male","3010","Population - Est. & Proj.","2019","2019","1000 No","1233.202","X","Figure from international organizations",""
"OA","Annual population","072","Botswana","513","Total Population - Female","3010","Population - Est. & Proj.","2019","2019","1000 No","1266.499","X","Figure from international organizations",""
"OA","Annual population","072","Botswana","551","Rural population","3010","Population - Est. & Proj.","2019","2019","1000 No","708.307","X","Figure from international organizations",""
"OA","Annual population","072","Botswana","561","Urban population","3010","Population - Est. & Proj.","2019","2019","1000 No","1666.329","X","Figure from international organizations",""
"OA","Annual population","076","Brazil","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 No","210166.592","X","Figure from international organizations",""
"OA","Annual population","076","Brazil","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 No","103354.449","X","Figure from international organizations",""
"OA","Annual population","076","Brazil","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 No","106812.144","X","Figure from international organizations",""
"OA","Annual population","076","Brazil","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 No","28321.495","X","Figure from international organizations",""
"OA","Annual population","076","Brazil","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 No","182546.459","X","Figure from international organizations",""
"OA","Annual population","076","Brazil","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2019","2019","1000 No","211782.878","X","Figure from international organizations",""
"OA","Annual population","076","Brazil","512","Total Population - Male","3010","Population - Est. & Proj.","2019","2019","1000 No","104119.798","X","Figure from international organizations",""
"OA","Annual population","076","Brazil","513","Total Population - Female","3010","Population - Est. & Proj.","2019","2019","1000 No","107663.08","X","Figure from international organizations",""
"OA","Annual population","076","Brazil","551","Rural population","3010","Population - Est. & Proj.","2019","2019","1000 No","27985.169","X","Figure from international organizations",""
"OA","Annual population","076","Brazil","561","Urban population","3010","Population - Est. & Proj.","2019","2019","1000 No","184407.548","X","Figure from international organizations",""
"OA","Annual population","092","British Virgin Islands","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 No","30.335","X","Figure from international organizations",""
"OA","Annual population","092","British Virgin Islands","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 No","14.681","X","Figure from international organizations",""
"OA","Annual population","092","British Virgin Islands","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 No","15.653","X","Figure from international organizations",""
"OA","Annual population","092","British Virgin Islands","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 No","16.582","X","Figure from international organizations",""
"OA","Annual population","092","British Virgin Islands","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 No","15.137","X","Figure from international organizations",""
"OA","Annual population","092","British Virgin Islands","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2019","2019","1000 No","30.61","X","Figure from international organizations",""
"OA","Annual population","092","British Virgin Islands","512","Total Population - Male","3010","Population - Est. & Proj.","2019","2019","1000 No","14.786","X","Figure from international organizations",""
"OA","Annual population","092","British Virgin Islands","513","Total Population - Female","3010","Population - Est. & Proj.","2019","2019","1000 No","15.825","X","Figure from international organizations",""
"OA","Annual population","092","British Virgin Islands","551","Rural population","3010","Population - Est. & Proj.","2019","2019","1000 No","16.71","X","Figure from international organizations",""
"OA","Annual population","092","British Virgin Islands","561","Urban population","3010","Population - Est. & Proj.","2019","2019","1000 No","15.496","X","Figure from international organizations",""
"OA","Annual population","096","Brunei Darussalam","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 No","434.274","X","Figure from international organizations",""
"OA","Annual population","096","Brunei Darussalam","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 No","225.018","X","Figure from international organizations",""
"OA","Annual population","096","Brunei Darussalam","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 No","209.257","X","Figure from international organizations",""
"OA","Annual population","096","Brunei Darussalam","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 No","97.106","X","Figure from international organizations",""
"OA","Annual population","096","Brunei Darussalam","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 No","336.97","X","Figure from international organizations",""
"OA","Annual population","096","Brunei Darussalam","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2019","2019","1000 No","438.048","X","Figure from international organizations",""
"OA","Annual population","096","Brunei Darussalam","512","Total Population - Male","3010","Population - Est. & Proj.","2019","2019","1000 No","226.876","X","Figure from international organizations",""
"OA","Annual population","096","Brunei Darussalam","513","Total Population - Female","3010","Population - Est. & Proj.","2019","2019","1000 No","211.173","X","Figure from international organizations",""
"OA","Annual population","096","Brunei Darussalam","551","Rural population","3010","Population - Est. & Proj.","2019","2019","1000 No","96.908","X","Figure from international organizations",""
"OA","Annual population","096","Brunei Darussalam","561","Urban population","3010","Population - Est. & Proj.","2019","2019","1000 No","342.428","X","Figure from international organizations",""
"OA","Annual population","100","Bulgaria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 No","7117.431","X","Figure from international organizations",""
"OA","Annual population","100","Bulgaria","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 No","3451.291","X","Figure from international organizations",""
"OA","Annual population","100","Bulgaria","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 No","3666.139","X","Figure from international organizations",""
"OA","Annual population","100","Bulgaria","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 No","1758.643","X","Figure from international organizations",""
"OA","Annual population","100","Bulgaria","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 No","5278.205","X","Figure from international organizations",""
"OA","Annual population","100","Bulgaria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2019","2019","1000 No","7052.532","X","Figure from international organizations",""
"OA","Annual population","100","Bulgaria","512","Total Population - Male","3010","Population - Est. & Proj.","2019","2019","1000 No","3420.914","X","Figure from international organizations",""
"OA","Annual population","100","Bulgaria","513","Total Population - Female","3010","Population - Est. & Proj.","2019","2019","1000 No","3631.617","X","Figure from international organizations",""
"OA","Annual population","100","Bulgaria","551","Rural population","3010","Population - Est. & Proj.","2019","2019","1000 No","1722.907","X","Figure from international organizations",""
"OA","Annual population","100","Bulgaria","561","Urban population","3010","Population - Est. & Proj.","2019","2019","1000 No","5265.832","X","Figure from international organizations",""
"OA","Annual population","854","Burkina Faso","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 No","20392.723","X","Figure from international organizations",""
"OA","Annual population","854","Burkina Faso","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 No","10150.983","X","Figure from international organizations",""
"OA","Annual population","854","Burkina Faso","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 No","10241.74","X","Figure from international organizations",""
"OA","Annual population","854","Burkina Faso","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 No","13952.881","X","Figure from international organizations",""
"OA","Annual population","854","Burkina Faso","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 No","5798.77","X","Figure from international organizations",""
"OA","Annual population","854","Burkina Faso","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2019","2019","1000 No","20951.639","X","Figure from international organizations",""
"OA","Annual population","854","Burkina Faso","512","Total Population - Male","3010","Population - Est. & Proj.","2019","2019","1000 No","10431.262","X","Figure from international organizations",""
"OA","Annual population","854","Burkina Faso","513","Total Population - Female","3010","Population - Est. & Proj.","2019","2019","1000 No","10520.378","X","Figure from international organizations",""
"OA","Annual population","854","Burkina Faso","551","Rural population","3010","Population - Est. & Proj.","2019","2019","1000 No","14229.173","X","Figure from international organizations",""
"OA","Annual population","854","Burkina Faso","561","Urban population","3010","Population - Est. & Proj.","2019","2019","1000 No","6092.387","X","Figure from international organizations",""
"OA","Annual population","108","Burundi","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 No","11493.472","X","Figure from international organizations",""
"OA","Annual population","108","Burundi","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 No","5703.611","X","Figure from international organizations",""
"OA","Annual population","108","Burundi","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 No","5789.861","X","Figure from international organizations",""
"OA","Annual population","108","Burundi","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 No","9754.746","X","Figure from international organizations",""
"OA","Annual population","108","Burundi","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 No","1461.704","X","Figure from international organizations",""
"OA","Annual population","108","Burundi","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2019","2019","1000 No","11874.838","X","Figure from international organizations",""
"OA","Annual population","108","Burundi","512","Total Population - Male","3010","Population - Est. & Proj.","2019","2019","1000 No","5894.278","X","Figure from international organizations",""
"OA","Annual population","108","Burundi","513","Total Population - Female","3010","Population - Est. & Proj.","2019","2019","1000 No","5980.56","X","Figure from international organizations",""
"OA","Annual population","108","Burundi","551","Rural population","3010","Population - Est. & Proj.","2019","2019","1000 No","10028.767","X","Figure from international organizations",""
"OA","Annual population","108","Burundi","561","Urban population","3010","Population - Est. & Proj.","2019","2019","1000 No","1547.197","X","Figure from international organizations",""
"OA","Annual population","132","Cabo Verde","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 No","571.202","X","Figure from international organizations",""
"OA","Annual population","132","Cabo Verde","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 No","284.085","X","Figure from international organizations",""
"OA","Annual population","132","Cabo Verde","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 No","287.116","X","Figure from international organizations",""
"OA","Annual population","132","Cabo Verde","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 No","189.62","X","Figure from international organizations",""
"OA","Annual population","132","Cabo Verde","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 No","363.715","X","Figure from international organizations",""
"OA","Annual population","132","Cabo Verde","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2019","2019","1000 No","577.03","X","Figure from international organizations",""
"OA","Annual population","132","Cabo Verde","512","Total Population - Male","3010","Population - Est. & Proj.","2019","2019","1000 No","286.974","X","Figure from international organizations",""
"OA","Annual population","132","Cabo Verde","513","Total Population - Female","3010","Population - Est. & Proj.","2019","2019","1000 No","290.056","X","Figure from international organizations",""
"OA","Annual population","132","Cabo Verde","551","Rural population","3010","Population - Est. & Proj.","2019","2019","1000 No","189.426","X","Figure from international organizations",""
"OA","Annual population","132","Cabo Verde","561","Urban population","3010","Population - Est. & Proj.","2019","2019","1000 No","370.923","X","Figure from international organizations",""
"OA","Annual population","116","Cambodia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 No","16025.238","X","Figure from international organizations",""
"OA","Annual population","116","Cambodia","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 No","7930.999","X","Figure from international organizations",""
"OA","Annual population","116","Cambodia","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 No","8094.239","X","Figure from international organizations",""
"OA","Annual population","116","Cambodia","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 No","12446.208","X","Figure from international organizations",""
"OA","Annual population","116","Cambodia","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 No","3799.521","X","Figure from international organizations",""
"OA","Annual population","116","Cambodia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2019","2019","1000 No","16207.746","X","Figure from international organizations",""
"OA","Annual population","116","Cambodia","512","Total Population - Male","3010","Population - Est. & Proj.","2019","2019","1000 No","8021.264","X","Figure from international organizations",""
"OA","Annual population","116","Cambodia","513","Total Population - Female","3010","Population - Est. & Proj.","2019","2019","1000 No","8186.482","X","Figure from international organizations",""
"OA","Annual population","116","Cambodia","551","Rural population","3010","Population - Est. & Proj.","2019","2019","1000 No","12558.947","X","Figure from international organizations",""
"OA","Annual population","116","Cambodia","561","Urban population","3010","Population - Est. & Proj.","2019","2019","1000 No","3923.699","X","Figure from international organizations",""
"OA","Annual population","120","Cameroon","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 No","25076.747","X","Figure from international organizations",""
"OA","Annual population","120","Cameroon","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 No","12501.234","X","Figure from international organizations",""
"OA","Annual population","120","Cameroon","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 No","12575.513","X","Figure from international organizations",""
"OA","Annual population","120","Cameroon","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 No","10766.102","X","Figure from international organizations",""
"OA","Annual population","120","Cameroon","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 No","13912.132","X","Figure from international organizations",""
"OA","Annual population","120","Cameroon","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2019","2019","1000 No","25782.341","X","Figure from international organizations",""
"OA","Annual population","120","Cameroon","512","Total Population - Male","3010","Population - Est. & Proj.","2019","2019","1000 No","12855.489","X","Figure from international organizations",""
"OA","Annual population","120","Cameroon","513","Total Population - Female","3010","Population - Est. & Proj.","2019","2019","1000 No","12926.852","X","Figure from international organizations",""
"OA","Annual population","120","Cameroon","551","Rural population","3010","Population - Est. & Proj.","2019","2019","1000 No","10892.584","X","Figure from international organizations",""
"OA","Annual population","120","Cameroon","561","Urban population","3010","Population - Est. & Proj.","2019","2019","1000 No","14420.409","X","Figure from international organizations",""
"OA","Annual population","124","Canada","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 No","37035.254","X","Figure from international organizations",""
"OA","Annual population","124","Canada","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 No","18390.73","X","Figure from international organizations",""
"OA","Annual population","124","Canada","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 No","18644.524","X","Figure from international organizations",""
"OA","Annual population","124","Canada","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 No","6869.269","X","Figure from international organizations",""
"OA","Annual population","124","Canada","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 No","30084.496","X","Figure from international organizations",""
"OA","Annual population","124","Canada","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2019","2019","1000 No","37522.584","X","Figure from international organizations",""
"OA","Annual population","124","Canada","512","Total Population - Male","3010","Population - Est. & Proj.","2019","2019","1000 No","18641.142","X","Figure from international organizations",""
"OA","Annual population","124","Canada","513","Total Population - Female","3010","Population - Est. & Proj.","2019","2019","1000 No","18881.443","X","Figure from international organizations",""
"OA","Annual population","124","Canada","551","Rural population","3010","Population - Est. & Proj.","2019","2019","1000 No","6903.53","X","Figure from international organizations",""
"OA","Annual population","124","Canada","561","Urban population","3010","Population - Est. & Proj.","2019","2019","1000 No","30376.281","X","Figure from international organizations",""
"OA","Annual population","136","Cayman Islands","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 No","64.884","X","Figure from international organizations",""
"OA","Annual population","136","Cayman Islands","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 No","32.627","X","Figure from international organizations",""
"OA","Annual population","136","Cayman Islands","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 No","32.258","X","Figure from international organizations",""
"OA","Annual population","136","Cayman Islands","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 No","0","X","Figure from international organizations",""
"OA","Annual population","136","Cayman Islands","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 No","62.348","X","Figure from international organizations",""
"OA","Annual population","136","Cayman Islands","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2019","2019","1000 No","66.134","X","Figure from international organizations",""
"OA","Annual population","136","Cayman Islands","512","Total Population - Male","3010","Population - Est. & Proj.","2019","2019","1000 No","33.285","X","Figure from international organizations",""
"OA","Annual population","136","Cayman Islands","513","Total Population - Female","3010","Population - Est. & Proj.","2019","2019","1000 No","32.849","X","Figure from international organizations",""
"OA","Annual population","136","Cayman Islands","551","Rural population","3010","Population - Est. & Proj.","2019","2019","1000 No","0","X","Figure from international organizations",""
"OA","Annual population","136","Cayman Islands","561","Urban population","3010","Population - Est. & Proj.","2019","2019","1000 No","63.129","X","Figure from international organizations",""
"OA","Annual population","140","Central African Republic","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 No","5094.78","X","Figure from international organizations",""
"OA","Annual population","140","Central African Republic","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 No","2549.256","X","Figure from international organizations",""
"OA","Annual population","140","Central African Republic","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 No","2545.524","X","Figure from international organizations",""
"OA","Annual population","140","Central African Republic","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 No","2777.836","X","Figure from international organizations",""
"OA","Annual population","140","Central African Republic","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 No","1959.587","X","Figure from international organizations",""
"OA","Annual population","140","Central African Republic","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2019","2019","1000 No","5209.324","X","Figure from international organizations",""
"OA","Annual population","140","Central African Republic","512","Total Population - Male","3010","Population - Est. & Proj.","2019","2019","1000 No","2605.852","X","Figure from international organizations",""
"OA","Annual population","140","Central African Republic","513","Total Population - Female","3010","Population - Est. & Proj.","2019","2019","1000 No","2603.472","X","Figure from international organizations",""
"OA","Annual population","140","Central African Republic","551","Rural population","3010","Population - Est. & Proj.","2019","2019","1000 No","2810.003","X","Figure from international organizations",""
"OA","Annual population","140","Central African Republic","561","Urban population","3010","Population - Est. & Proj.","2019","2019","1000 No","2015.708","X","Figure from international organizations",""
"OA","Annual population","148","Chad","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 No","15604.21","X","Figure from international organizations",""
"OA","Annual population","148","Chad","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 No","7831.899","X","Figure from international organizations",""
"OA","Annual population","148","Chad","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 No","7772.311","X","Figure from international organizations",""
"OA","Annual population","148","Chad","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 No","11812.905","X","Figure from international organizations",""
"OA","Annual population","148","Chad","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 No","3540.279","X","Figure from international organizations",""
"OA","Annual population","148","Chad","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2019","2019","1000 No","16126.866","X","Figure from international organizations",""
"OA","Annual population","148","Chad","512","Total Population - Male","3010","Population - Est. & Proj.","2019","2019","1000 No","8094.822","X","Figure from international organizations",""
"OA","Annual population","148","Chad","513","Total Population - Female","3010","Population - Est. & Proj.","2019","2019","1000 No","8032.044","X","Figure from international organizations",""
"OA","Annual population","148","Chad","551","Rural population","3010","Population - Est. & Proj.","2019","2019","1000 No","12132.857","X","Figure from international organizations",""
"OA","Annual population","148","Chad","561","Urban population","3010","Population - Est. & Proj.","2019","2019","1000 No","3681.488","X","Figure from international organizations",""
"OA","Annual population","830","Channel Islands","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 No","114.74","X","Figure from international organizations",""
"OA","Annual population","830","Channel Islands","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 No","51.343","X","Figure from international organizations",""
"OA","Annual population","830","Channel Islands","551","Rural population","3010","Population - Est. & Proj.","2019","2019","1000 No","115.227","X","Figure from international organizations",""
"OA","Annual population","830","Channel Islands","561","Urban population","3010","Population - Est. & Proj.","2019","2019","1000 No","51.601","X","Figure from international organizations",""
"OA","Annual population","152","Chile","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 No","18701.45","X","Figure from international organizations",""
"OA","Annual population","152","Chile","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 No","9281.3","X","Figure from international organizations",""
"OA","Annual population","152","Chile","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 No","9420.15","X","Figure from international organizations",""
"OA","Annual population","152","Chile","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 No","2262.995","X","Figure from international organizations",""
"OA","Annual population","152","Chile","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 No","15934.214","X","Figure from international organizations",""
"OA","Annual population","152","Chile","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2019","2019","1000 No","19039.485","X","Figure from international organizations",""
"OA","Annual population","152","Chile","512","Total Population - Male","3010","Population - Est. & Proj.","2019","2019","1000 No","9450.404","X","Figure from international organizations",""
"OA","Annual population","152","Chile","513","Total Population - Female","3010","Population - Est. & Proj.","2019","2019","1000 No","9589.082","X","Figure from international organizations",""
"OA","Annual population","152","Chile","551","Rural population","3010","Population - Est. & Proj.","2019","2019","1000 No","2265.846","X","Figure from international organizations",""
"OA","Annual population","152","Chile","561","Urban population","3010","Population - Est. & Proj.","2019","2019","1000 No","16070.807","X","Figure from international organizations",""
"OA","Annual population","159","China","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 No","1448928.199","X","Figure from international organizations",""
"OA","Annual population","159","China","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 No","740159.36","X","Figure from international organizations",""
"OA","Annual population","159","China","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 No","708768.84","X","Figure from international organizations",""
"OA","Annual population","159","China","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 No","583199.631","X","Figure from international organizations",""
"OA","Annual population","159","China","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 No","863601.691","X","Figure from international organizations",""
"OA","Annual population","159","China","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2019","2019","1000 No","1453801.543","X","Figure from international organizations",""
"OA","Annual population","159","China","512","Total Population - Male","3010","Population - Est. & Proj.","2019","2019","1000 No","742358.552","X","Figure from international organizations",""
"OA","Annual population","159","China","513","Total Population - Female","3010","Population - Est. & Proj.","2019","2019","1000 No","711442.99","X","Figure from international organizations",""
"OA","Annual population","159","China","551","Rural population","3010","Population - Est. & Proj.","2019","2019","1000 No","568748.198","X","Figure from international organizations",""
"OA","Annual population","159","China","561","Urban population","3010","Population - Est. & Proj.","2019","2019","1000 No","883204.937","X","Figure from international organizations",""
"OA","Annual population","344","China, Hong Kong SAR","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 No","7481.555","X","Figure from international organizations",""
"OA","Annual population","344","China, Hong Kong SAR","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 No","3456.382","X","Figure from international organizations",""
"OA","Annual population","344","China, Hong Kong SAR","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 No","4025.173","X","Figure from international organizations",""
"OA","Annual population","344","China, Hong Kong SAR","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 No","0","X","Figure from international organizations",""
"OA","Annual population","344","China, Hong Kong SAR","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 No","7428.887","X","Figure from international organizations",""
"OA","Annual population","344","China, Hong Kong SAR","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2019","2019","1000 No","7496.122","X","Figure from international organizations",""
"OA","Annual population","344","China, Hong Kong SAR","512","Total Population - Male","3010","Population - Est. & Proj.","2019","2019","1000 No","3461.876","X","Figure from international organizations",""
"OA","Annual population","344","China, Hong Kong SAR","513","Total Population - Female","3010","Population - Est. & Proj.","2019","2019","1000 No","4034.246","X","Figure from international organizations",""
"OA","Annual population","344","China, Hong Kong SAR","551","Rural population","3010","Population - Est. & Proj.","2019","2019","1000 No","0","X","Figure from international organizations",""
"OA","Annual population","344","China, Hong Kong SAR","561","Urban population","3010","Population - Est. & Proj.","2019","2019","1000 No","7490.776","X","Figure from international organizations",""
"OA","Annual population","446","China, Macao SAR","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 No","650.991","X","Figure from international organizations",""
"OA","Annual population","446","China, Macao SAR","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 No","307.005","X","Figure from international organizations",""
"OA","Annual population","446","China, Macao SAR","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 No","343.986","X","Figure from international organizations",""
"OA","Annual population","446","China, Macao SAR","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 No","0","X","Figure from international organizations",""
"OA","Annual population","446","China, Macao SAR","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 No","632.418","X","Figure from international organizations",""
"OA","Annual population","446","China, Macao SAR","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2019","2019","1000 No","663.653","X","Figure from international organizations",""
"OA","Annual population","446","China, Macao SAR","512","Total Population - Male","3010","Population - Est. & Proj.","2019","2019","1000 No","312.356","X","Figure from international organizations",""
"OA","Annual population","446","China, Macao SAR","513","Total Population - Female","3010","Population - Est. & Proj.","2019","2019","1000 No","351.296","X","Figure from international organizations",""
"OA","Annual population","446","China, Macao SAR","551","Rural population","3010","Population - Est. & Proj.","2019","2019","1000 No","0","X","Figure from international organizations",""
"OA","Annual population","446","China, Macao SAR","561","Urban population","3010","Population - Est. & Proj.","2019","2019","1000 No","642.09","X","Figure from international organizations",""
"OA","Annual population","156","China, mainland","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 No","1417069.468","X","Figure from international organizations",""
